AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,lad16nm,text,easting,northing,long,lat
100104362016,2016-01-09,Jan,Sat,18,Pedestrian,Slight,Dark,Male,11-15,Bolton,At 18:50 on Saturday 09 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,371373,408666,-2.4337797060064252,53.57380745461661
100104672016,2016-01-05,Jan,Tues,6,Pedal Cycle,Slight,Dark,Male,46-55,Bolton,At 06:20 on Tuesday 05 January 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,369656,409361,-2.459775723991542,53.57995723618881
100104862016,2016-01-05,Jan,Tues,7,Pedestrian,Slight,Daylight,Male,66-75,Bolton,At 07:45 on Tuesday 05 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,371519,411085,-2.4317966473052595,53.59555745745904
100105052016,2016-01-09,Jan,Sat,17,Car,Slight,Dark,Female,46-55,Bolton,At 17:14 on Saturday 09 January 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,375432,407482,-2.37239110251641,53.56337220779759
100105102016,2016-01-05,Jan,Tues,16,Pedestrian,Slight,Dark,Male,11-15,Bolton,At 16:15 on Tuesday 05 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,376059,407319,-2.362912524946423,53.56193625694598
100105742016,2016-01-07,Jan,Thurs,10,Car,Slight,Daylight,Male,46-55,Bolton,At 10:10 on Thursday 07 January 2016 a slight collision occured involving 3 vehicle(s) and  1 casualtie(s).,370165,410112,-2.452160333207663,53.58673653515329
100105882016,2016-01-07,Jan,Thurs,11,Pedestrian,Slight,Daylight,Male,56-65,Bolton,At 11:45 on Thursday 07 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,372705,409292,-2.413720193295544,53.579505261482595
100106132016,2016-05-10,May,Tues,16,Pedestrian,Slight,Daylight,Female,6-10,Bolton,At 16:10 on Tuesday 10 May 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,370967,407000,-2.4397552297077434,53.55881098006238
100107762016,2016-01-06,Jan,Wed,22,Pedestrian,Slight,Dark,Male,36-45,Bolton,At 22:50 on Wednesday 06 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,371459,411647,-2.4327548193105684,53.60060543703274
100107792016,2016-01-12,Jan,Tues,11,Car,Slight,Daylight,Male,46-55,Bolton,At 11:45 on Tuesday 12 January 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,371286,409487,-2.4351693026790735,53.581181852315154
100108452016,2016-01-18,Jan,Mon,14,Car,Slight,Daylight,Male,56-65,Bolton,At 14:01 on Monday 18 January 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,374011,405888,-2.3937112354430132,53.54897640848302
100109042016,2016-01-15,Jan,Fri,17,Pedestrian,Slight,Dark,Female,Over 75,Bolton,At 17:10 on Friday 15 January 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,371041,407013,-2.438639366685781,53.55893192875521
100110442016,2016-01-15,Jan,Fri,20,Car,Slight,Dark,Female,21-25,Bolton,At 20:25 on Friday 15 January 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,371685,407980,-2.4290057678106893,53.56765865576635
100110442016,2016-01-15,Jan,Fri,20,Car,Slight,Dark,Male,26-35,Bolton,At 20:25 on Friday 15 January 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,371685,407980,-2.4290057678106893,53.56765865576635
100110442016,2016-01-15,Jan,Fri,20,Car,Slight,Dark,Female,26-35,Bolton,At 20:25 on Friday 15 January 2016 a slight collision occured involving 2 vehicle(s) and  3 casualtie(s).,371685,407980,-2.4290057678106893,53.56765865576635
